2026-02-26 13:36:59 | dados.py | requirements.txt | ERROR | 0.00s
2026-02-26 14:56:20 | adiciona_coluna.py | teste.csv | ERROR | 4.61s
2026-02-26 14:57:48 | adiciona_coluna.py | teste.csv | ERROR | 0.00s
2026-02-26 14:59:24 | adiciona_coluna.py | teste.csv | ERROR | 0.34s
2026-02-26 15:03:06 | adiciona_coluna.py | teste.csv | ERROR | 0.44s
2026-02-26 15:03:53 | adiociona_coluna | teste.csv | ERROR | 0.00s
2026-02-26 15:04:26 | adiciona_coluna | teste.csv | SUCCESS | 0.01s
2026-02-26 15:04:59 | adiciona_coluna.py | teste.csv | ERROR | 0.00s
2026-02-26 15:07:09 | adiciona_coluna | teste.csv | SUCCESS | 0.01s
2026-02-26 17:17:36 | adiciona_coluna | teste.csv | SUCCESS | 0.36s
2026-02-26 17:18:02 | adiciona_coluna | teste.csv | SUCCESS | 0.01s
2026-02-26 17:18:27 | adiciona_coluna | teste.csv | SUCCESS | 0.01s
2026-02-26 17:20:38 | adiciona_coluna | teste.csv | SUCCESS | 0.34s
2026-02-26 17:30:43 | adiciona_coluna | teste.csv | SUCCESS | 0.35s
2026-02-26 17:31:54 | adiciona_coluna | teste.csv | SUCCESS | 0.33s
